Trial_ID,Batch_ID,Stimulus_Level,Type_Stimulus,Prior_Duration,Stimulus_Duration,Post_Duration,Transducer_factor,Basal_pressure,Genotype,Category_stimulus ,Type_Experiment,Bin_size,Frame_rate,Pxmm,Particles_Counted,Fraction_increase,WxH_Img,TxtImgSave
011020_E001T_10,011020_B001,17.5,Pressure,10,60,60,0.125,0,WT,17.5,Step,10,10,742.667-80,NO,1.75,0x0,0
011020_E001T_11,011020_B001,12.5,Pressure,10,60,60,0.125,0,WT,12.5,Step,10,10,742.667-80,NO,1.25,0x0,0
011020_E001T_12,011020_B001,137.5,Pressure,10,60,60,0.625,0,WT,137.5,Step,10,10,742.667-80,NO,13.75,0x0,0
011020_E001T_13,011020_B001,47.5,Pressure,10,60,60,0.125,0,WT,47.5,Step,10,10,742.667-80,NO,4.75,0x0,0
011020_E001T_14,011020_B001,95,Pressure,10,60,60,0.25,0,WT,95,Step,10,10,742.667-80,NO,9.5,0x0,0
011020_E001T_15,011020_B001,75,Pressure,10,60,60,0.25,0,WT,75,Step,10,10,742.667-80,NO,7.5,0x0,0
011020_E001T_16,011020_B001,55,Pressure,10,60,60,0.25,0,WT,55,Step,10,10,742.667-80,NO,5.5,0x0,0
011020_E001T_17,011020_B001,3.125,Pressure,10,60,60,0.125,0,WT,3.125,Step,10,10,742.667-80,NO,0.3125,0x0,0
011020_E001T_18-2,011020_B001,65,Pressure,10,60,60,0.25,0,WT,65,Step,10,10,742.667-80,NO,6.5,0x0,0
011020_E001T_19,011020_B001,237.5,Pressure,10,60,60,0.625,0,WT,237.5,Step,10,10,742.667-80,NO,23.75,0x0,0
011020_E001T_2,011020_B001,27.5,Pressure,10,60,60,0.125,0,WT,27.5,Step,10,10,742.667-80,NO,2.75,768x943,1
011020_E001T_20,011020_B001,187.5,Pressure,10,60,60,0.625,0,WT,187.5,Step,10,10,742.667-80,NO,18.75,0x0,0
011020_E001T_3,011020_B001,7.5,Pressure,10,60,60,0.125,0,WT,7.5,Step,10,10,742.667-80,NO,0.75,0x0,0
011020_E001T_4,011020_B001,32.5,Pressure,10,60,60,0.125,0,WT,32.5,Step,10,10,742.667-80,NO,3.25,0x0,0
011020_E001T_5,011020_B001,22.5,Pressure,10,60,60,0.125,0,WT,22.5,Step,10,10,742.667-80,NO,2.25,0x0,0
011020_E001T_6,011020_B001,85,Pressure,10,60,60,0.25,0,WT,85,Step,10,10,742.667-80,NO,8.5,0x0,0
011020_E001T_7,011020_B001,37.5,Pressure,10,60,60,0.125,0,WT,37.5,Step,10,10,742.667-80,NO,3.75,0x0,0
021020_E001T_1-2,021020_B001,3.125,Pressure,10,60,60,0.125,0,WT,3.125,Step,10,10,742.667-80,NO,0.3125,0x0,0
021020_E001T_10,021020_B001,32.5,Pressure,10,60,60,0.125,0,WT,32.5,Step,10,10,742.667-80,NO,3.25,0x0,0
021020_E001T_11,021020_B001,75,Pressure,10,60,60,0.25,0,WT,75,Step,10,10,742.667-80,NO,7.5,0x0,0
021020_E001T_12,021020_B001,22.5,Pressure,10,60,60,0.125,0,WT,22.5,Step,10,10,742.667-80,NO,2.25,0x0,0
021020_E001T_13,021020_B001,17.5,Pressure,10,60,60,0.125,0,WT,17.5,Step,10,10,742.667-80,NO,1.75,0x0,0
021020_E001T_14,021020_B001,212.5,Pressure,10,60,60,0.625,0,WT,212.5,Step,10,10,742.667-80,NO,21.25,0x0,0
021020_E001T_15,021020_B001,37.5,Pressure,10,60,60,0.125,0,WT,37.5,Step,10,10,742.667-80,NO,3.75,0x0,0
